Packet_Count,Total_Length,Avg_Pkt_Interval,Max_Pkt_Interval,Min_Pkt_Interval,Avg_Pkt_Length,Max_Pkt_Length,Min_Pkt_Length,Most_Common_Pkt_Length,Label
221,904764,0.03053655912727273,4.069249343,1.9999999989472883e-08,4093.9547511312217,25770,66,66,MyAnimeList
74,241720,0.07363396520547948,1.714798725999998,3.799999959142042e-08,3266.4864864864867,32878,66,66,MyAnimeList
51,136784,0.3135721907200001,11.233250564999999,1.8000001489326678e-08,2682.0392156862745,29662,66,66,MyAnimeList
64,162896,0.043727751111111234,1.241233047999998,3.5399999944729643e-06,2545.25,15774,66,66,MyAnimeList
53,190578,0.04903019817307698,1.884887538000001,1.7600000035145058e-07,3595.811320754717,15774,66,66,MyAnimeList
57,187952,0.12285933548214294,3.105331715999995,3.6670000014282778e-06,3297.40350877193,12918,66,66,MyAnimeList
9,2592,0.00840387124999964,0.049401012999993554,1.0944999999651372e-05,288.0,1849,66,66,MyAnimeList
67,188248,0.03714669256060604,1.9728245769999972,2.2999998350314854e-08,2809.6716417910447,15774,66,66,MyAnimeList
190,710551,0.01727530884126985,2.3018343780000095,2.4000001985768904e-08,3739.742105263158,14346,66,94,MyAnimeList
42,83170,0.1443141030731706,1.889194826999983,2.300001256116957e-08,1980.2380952380952,16472,66,66,MyAnimeList
56,73701,0.11008279194545438,3.6093035510000107,6.799999141549051e-08,1316.0892857142858,12918,66,66,MyAnimeList
44,135661,0.09392182567441872,1.6592837139999972,1.899999801935337e-08,3083.2045454545455,16472,66,66,MyAnimeList
53,56452,0.04086255461538439,1.532732181,1.8000008594754036e-08,1065.132075471698,4350,66,66,MyAnimeList
81,105833,0.05545867106249993,2.009786740999999,4.350000011754673e-06,1306.5802469135801,4350,66,66,MyAnimeList
102,100415,0.033736295445544386,1.138974573000013,2.500001983207767e-08,984.4607843137255,4350,66,66,MyAnimeList
387,830406,0.010324417106217645,2.6395533959999966,2.1999994714860804e-08,2145.751937984496,7206,66,1494,MyAnimeList
114,375537,0.0049287263008848505,0.4439912320000019,2.7290000161883654e-06,3294.184210526316,8634,66,66,MyAnimeList
109,373938,0.005600911138888823,0.41211122799998634,1.260000033198594e-07,3430.623853211009,10062,66,8634,MyAnimeList
95,367123,0.009579173797872202,0.5817733290000149,1.8000008594754036e-08,3864.452631578947,10062,66,8634,MyAnimeList
98,268783,0.035712037010309415,2.167006959000048,3.8999985463306075e-08,2742.683673469388,10062,66,78,MyAnimeList
7,1262,0.024386932833332747,0.12707232799999701,1.4100004364081542e-07,180.28571428571428,660,66,66,MyAnimeList
60,136831,0.03306973913559324,1.52008916799997,6.199996960276621e-08,2280.516666666667,8634,66,66,MyAnimeList
53,138322,0.13727908757692284,4.881143312000006,4.900999954315921e-06,2609.8490566037735,8634,66,66,MyAnimeList
140,304542,0.02321393023021587,1.0345207010000195,1.6000001323845936e-08,2175.3,8634,66,66,MyAnimeList
32,66199,0.09658902693548323,1.5179038059999925,1.2815000047794456e-05,2068.71875,11490,66,66,MyAnimeList
51,120560,0.07506547061999981,1.7294239189999985,2.999996695507434e-08,2363.921568627451,11490,66,66,MyAnimeList
